"id","language","last_import_id","title"
"1704188","1309886","BTM:HOTEL:1H0681:0345f4c281b4a8c84d12ccbf94ac4446","Arrival"
"1704188","61435","BTM:HOTEL:1H0681:81bd0260d9bec1868f84439fe30d9fed","Arrival"
"1704221","61435","BTM:HOTEL:1H0700:5a6b081ce43f7799db54183260b3e1af","Abion Villa"
"1704221","1309886","BTM:HOTEL:1H0700:fa15cb29db029115f65429f6d855038b","Abion Villa"
"2527670","61435","BTM:HOTEL:1H0703:1e359461f77a5e646a960967bc9227a8","Hotel Potsdamer Hof Berlin Am Potsdamer Platz"
"1704254","1309886","BTM:HOTEL:1H0708:05dcd55dd303eba4052b436aa9710921","Aspria Spa + Sporting Club + Hotel"
"1704254","61435","BTM:HOTEL:1H0708:c0a28bf0b3a5ca10917d747e6a0e614c","Aspria Spa + Sporting Club + Hotel"
"1704286","61435","BTM:HOTEL:1H0713:0a19d2955575affd249029d2058c85af","abba Berlin hotel"
"1704286","1309886","BTM:HOTEL:1H0713:7f4a7253ee4df9174192870c5f128499","abba Berlin hotel"
"2527693","61435","BTM:HOTEL:1H0714:17c0d6da8b13a0358b56228b90dec338","Hotel-Pension-Savoy nähe Kurfürstendamm"
"1704320","1309886","BTM:HOTEL:1H0715:bfd4c858e528581209975bdfc00bf6fa","Best Western Hotel President"
"1704320","61435","BTM:HOTEL:1H0715:fc5daa758326c6beacf89e2a33795f57","Best Western Hotel President"
"1704356","61435","BTM:HOTEL:1H0720:70af5c038bc8952c860bbfd3edf953a9","Alecsa Hotel am Olympiastadion"
"1704356","1309886","BTM:HOTEL:1H0720:79a784364880c02c9a995afebe2b45a5","Alecsa Hotel am Olympiastadion"
"1704393","61435","BTM:HOTEL:1H0721:4b5bc57e5c803e88e45997bf7f6682c5","Zarenhof Berlin Mitte"
"1704393","1309886","BTM:HOTEL:1H0721:c638e2e01b1e85f1c622ded423a8f1e3","Zarenhof Berlin Mitte"
"1704449","61435","BTM:HOTEL:1H0733:5bef4fa60628e637f658919433529f61","HSH Hotel Albergo"
"1704449","1309886","BTM:HOTEL:1H0733:c5f36d520d064b5c708f87764b571625","HSH Hotel Albergo"
"1704486","61435","BTM:HOTEL:1H0740:1aa6a5da4c7db9b386dd6700f64c6181","Haus Schildhorn"
"1704486","1309886","BTM:HOTEL:1H0740:cfccd1dd4c9939114774ae006cf233fd","Haus Schildhorn"
"1704520","1309886","BTM:HOTEL:1H0743:60d1ae5165cfdba9bef761b2c07ff1e5","Hampton by Hilton Berlin City West"
"1704520","61435","BTM:HOTEL:1H0743:9fa52286674918f110c0f4479e0b10f1","Hampton by Hilton Berlin City West"
"1704560","61435","BTM:HOTEL:1H0750:572049c09ba33de6d09256486de0f686","H10 Berlin Ku´damm"
"1704560","1309886","BTM:HOTEL:1H0750:beff95d3c4959cdbf9caca930bc82a0f","H10 Berlin Ku´damm"
"1704587","1309886","BTM:HOTEL:1H0751:a456479bc2fd812de70bc9e45e0e4637","Hotel Astrid am Kurfürstendamm"
"1704587","61435","BTM:HOTEL:1H0751:b71acea56c67a53739711dbf35a2964d","Hotel Astrid am Kurfürstendamm"
"1704620","1309886","BTM:HOTEL:1H0755:5fee4abc2cec432850b554cbd53dca79","Tagungshaus Tiergarten"
"1704620","61435","BTM:HOTEL:1H0755:7a92d875037ffa85af93afbd74a2f88e","Tagungshaus Tiergarten"
"1704653","61435","BTM:HOTEL:1H0756:1592b25e7d1c95c94b6d0cd11599659f","City Hotel am Kurfürstendamm"
"1704653","1309886","BTM:HOTEL:1H0756:a5ec0723e983d806c90dbbc21d63667e","City Hotel am Kurfürstendamm"
"1704689","1309886","BTM:HOTEL:1H0759:50571be98f39bd1c996560cfb3e6250c","Come Inn Berlin Kurfürstendamm Opera"
"1704689","61435","BTM:HOTEL:1H0759:9c4c5580d036a30a8bc093bac6bfe4c7","Come Inn Berlin Kurfürstendamm Opera"
"1704716","1309886","BTM:HOTEL:1H0760:2ac20c6a984cce8625dfddc73ea3004b","Abion Spreebogen Waterside Hotel"
"1704716","61435","BTM:HOTEL:1H0760:e1e6e7f439af618f63014616974fbbd3","Abion Spreebogen Waterside Hotel"
"2516007","61435","BTM:HOTEL:1H0761:72f09ff6bf16f0983d066ee6052e4dcd","H’Otello K’80"
"2516007","1309886","BTM:HOTEL:1H0761:a2b2147749c9f4056f45a5e6ffab52d0","H’Otello K’80"
"1704743","1309886","BTM:HOTEL:1H0763:618ca60a4d26fad50c23d03c0d030e93","Aldea Novum Berlin Centrum"
"1704743","61435","BTM:HOTEL:1H0763:ed8ac0231fa1664b6babd72f93ab6ad2","Aldea Novum Berlin Centrum"
"1704772","1309886","BTM:HOTEL:1H0764:09f8b4caeadf03e285f907443e6fdbd5","Hotel De Ela"
"1704772","61435","BTM:HOTEL:1H0764:4503b147357a9d3986cfa369a8ff575d","Hotel De Ela"
"2515358","61435","BTM:HOTEL:1H0782:3e0737ff9f3079c6771710e022698042","Adagio Berlin Kurfürstendamm"
